"ItemID","Stock Status","SKU","Date Updated"
"ANDIE-T PLATINUM","IN STOCK","2ND53XXX-CTPLAT",11/18/2016
"ARDEN-1","LOW","2RD3NXXX-C00001",11/18/2016
"ARDEN-12S28","IN STOCK","2RD3NXXX-C12S28",11/18/2016
"ARDEN-1B","IN STOCK","2RD3NXXX-C0001B",11/18/2016
"ARDEN-2","LOW","2RD3NXXX-C00002",11/18/2016
"ARDEN-24BT18","IN STOCK","2RD3NXXX-C24B18",11/18/2016
"ARDEN-2832","IN STOCK","2RD3NXXX-C02832",11/18/2016
"ARDEN-38S60B","IN STOCK","2RD3NXXX-C3860B",11/18/2016
"ARDEN-4","IN STOCK","2RD3NXXX-C00004",11/18/2016
"ARDEN-56/51","LOW","2RD3NXXX-C05651",11/18/2016
"ARDEN-6","IN STOCK","2RD3NXXX-C00006",11/18/2016
"ARDEN-6/27","IN STOCK","2RD3NXXX-C00627",11/18/2016
"ARDEN-6/28","IN STOCK","2RD3NXXX-C00628",11/18/2016
"ARDEN-60","IN STOCK","2RD3NXXX-C00060",11/18/2016
"ARDEN-613/12BT","IN STOCK","2RD3NXXX-C61312",11/18/2016
"ARDEN-613BHL22","IN STOCK","2RD3NXXX-C61322",11/18/2016
"ARDEN-613HL24B","IN STOCK","2RD3NXXX-C61324",11/18/2016
"ARDEN-6S130","LOW","2RD3NXXX-C6S130",11/18/2016
"ARDEN-BAMBOO","IN STOCK","2RD3NXXX-C0BAMB",11/18/2016
"ARDEN-BLUSH","IN STOCK","2RD3NXXX-CBLUSH",11/18/2016
"ARDEN-CARAMEL KISS","IN STOCK","2RD3NXXX-CCAKSS",11/18/2016
"ARDEN-COCONUT CREAM","IN STOCK","2RD3NXXX-CCCREM",11/18/2016
"ARDEN-COGNAC","IN STOCK","2RD3NXXX-CCGNAC",11/18/2016
"ARDEN-DARK AUBURN","IN STOCK","2RD3NXXX-CDKAUB",11/18/2016
"ARDEN-GINGER BROWN","IN STOCK","2RD3NXXX-CGGBRN",11/18/2016
"ARDEN-HOT COCOA","IN STOCK","2RD3NXXX-CHTCCA",11/18/2016
"ARDEN-ICED CHAMPAGNE","IN STOCK","2RD3NXXX-CCDHMP",11/18/2016
"ARDEN-KAHLUA","IN STOCK","2RD3NXXX-CKAHLA",11/18/2016
"ARDEN-MALIBU BLONDE","IN STOCK","2RD3NXXX-CMBLND",11/18/2016
"ARDEN-MERINGUE","IN STOCK","2RD3NXXX-CMERNG",11/18/2016
"ARDEN-MINX","IN STOCK","2RD3NXXX-C00MNX",11/18/2016
"ARDEN-PEARL MIST","IN STOCK","2RD3NXXX-CPLMST",11/18/2016
"ARDEN-PLUM","IN STOCK","2RD3NXXX-C0PLUM",11/18/2016
"ARDEN-ROUGE","IN STOCK","2RD3NXXX-C0RUGE",11/18/2016
"ARDEN-RTD MALIBU","IN STOCK","2RD3NXXX-CRMALB",11/18/2016
"ARDEN-RTD PLATINUM","IN STOCK","2RD3NXXX-CRPLAT",11/18/2016
"ARDEN-RTD SAND STONE","OUT","2RD3NXXX-CRSNST",11/18/2016
"ARDEN-RTD VANILLA","IN STOCK","2RD3NXXX-CRVANL",11/18/2016
"ARDEN-RUSSETT","IN STOCK","2RD3NXXX-C0RSST",11/18/2016
"ARDEN-SABLE","IN STOCK","2RD3NXXX-CSABLE",11/18/2016
"ARDEN-SAFARI","IN STOCK","2RD3NXXX-CSAFAR",11/18/2016
"ARDEN-SAND STONE","IN STOCK","2RD3NXXX-CSDSTN",11/18/2016
"ARDEN-SILVERSTONE","IN STOCK","2RD3NXXX-CSVRSN",11/18/2016
"ARDEN-SUNSET RED","IN STOCK","2RD3NXXX-CSNRED",11/18/2016
"ARDEN-T PLATINUM","IN STOCK","2RD3NXXX-CTPLAT",11/18/2016
"ARDEN-WINEBERRY","IN STOCK","2RD3NXXX-CWNBRY",11/18/2016
"ASA-8","IN STOCK","2S2XXXXX-C00008",11/18/2016
"ASHLYN-12S28","IN STOCK","2SH1YNXX-C12S28",11/18/2016
"ASHLYN-1B","IN STOCK","2SH1YNXX-C0001B",11/18/2016
"ASHLYN-2","IN STOCK","2SH1YNXX-C00002",11/18/2016
"ASHLYN-26T12","IN STOCK","2SH1YNXX-C26T12",11/18/2016
"ASHLYN-2832","IN STOCK","2SH1YNXX-C02832",11/18/2016
"ASHLYN-4","IN STOCK","2SH1YNXX-C00004",11/18/2016
"ASHLYN-6","IN STOCK","2SH1YNXX-C00006",11/18/2016
"ASHLYN-6/28","IN STOCK","2SH1YNXX-C00628",11/18/2016
"ASHLYN-613/12BT","IN STOCK","2SH1YNXX-C61312",11/18/2016
"ASHLYN-613BHL22","IN STOCK","2SH1YNXX-C61322",11/18/2016
"ASHLYN-AMARETTO","IN STOCK","2SH1YNXX-CAMRET",11/18/2016
"ASHLYN-BAMBOO","IN STOCK","2SH1YNXX-C0BAMB",11/18/2016
"ASHLYN-CARAMEL KISS","IN STOCK","2SH1YNXX-CCAKSS",11/18/2016
"ASHLYN-COCONUT CREAM","IN STOCK","2SH1YNXX-CCCREM",11/18/2016
"ASHLYN-COGNAC","IN STOCK","2SH1YNXX-CCGNAC",11/18/2016
"ASHLYN-DARK AUBURN","IN STOCK","2SH1YNXX-CDKAUB",11/18/2016
"ASHLYN-GINGER BROWN","IN STOCK","2SH1YNXX-CGGBRN",11/18/2016
"ASHLYN-GOLDEN BROWN","IN STOCK","2SH1YNXX-CGDBRN",11/18/2016
"ASHLYN-HOT COCOA","IN STOCK","2SH1YNXX-CHTCCA",11/18/2016
"ASHLYN-ICED CHAMPGNE","IN STOCK","2SH1YNXX-CCDHMP",11/18/2016
"ASHLYN-KAHLUA","IN STOCK","2SH1YNXX-CKAHLA",11/18/2016
"ASHLYN-MALIBU BLONDE","IN STOCK","2SH1YNXX-CMBLND",11/18/2016
"ASHLYN-MED BROWN","IN STOCK","2SH1YNXX-CMDBRN",11/18/2016
"ASHLYN-MINX","IN STOCK","2SH1YNXX-C00MNX",11/18/2016
"ASHLYN-RTD BLONDE","IN STOCK","2SH1YNXX-CRBLND",11/18/2016
"ASHLYN-RTD MALIBU","IN STOCK","2SH1YNXX-CRMALB",11/18/2016
"ASHLYN-RTD PLATINUM","IN STOCK","2SH1YNXX-CRPLAT",11/18/2016
"ASHLYN-RTD VANILLA","IN STOCK","2SH1YNXX-CRVANL",11/18/2016
"ASHLYN-SAFARI","IN STOCK","2SH1YNXX-CSAFAR",11/18/2016
"ASHLYN-SANGRIA","IN STOCK","2SH1YNXX-CSNGRA",11/18/2016
"ASHLYN-SILVERSTONE","IN STOCK","2SH1YNXX-CSVRSN",11/18/2016
"ASHLYN-SUNSET RED","IN STOCK","2SH1YNXX-CSNRED",11/18/2016
"ASHLYN-T PLATINUM","IN STOCK","2SH1YNXX-CTPLAT",11/18/2016
"ASHLYN-WARMTH","IN STOCK","2SH1YNXX-CWRMTH",11/18/2016
"ASHLYN-WINEBERRY","IN STOCK","2SH1YNXX-CWNBRY",11/18/2016
"AUBREY-12HL6","IN STOCK","27BR3YXX-C12HL6",11/18/2016
"AUBREY-12S28","IN STOCK","27BR3YXX-C12S28",11/18/2016
"AUBREY-14HL8","IN STOCK","27BR3YXX-C14HL8",11/18/2016
"AUBREY-16/22","IN STOCK","27BR3YXX-C01622",11/18/2016
"AUBREY-16HL10","IN STOCK","27BR3YXX-C16H10",11/18/2016
"AUBREY-1B","IN STOCK","27BR3YXX-C0001B",11/18/2016
"AUBREY-2","IN STOCK","27BR3YXX-C00002",11/18/2016
"AUBREY-24BT18","IN STOCK","27BR3YXX-C24B18",11/18/2016
"AUBREY-26T12","IN STOCK","27BR3YXX-C26T12",11/18/2016
"AUBREY-2832","IN STOCK","27BR3YXX-C02832",11/18/2016
"AUBREY-30","LOW","27BR3YXX-C00030",11/18/2016
"AUBREY-32S29","IN STOCK","27BR3YXX-C32S29",11/18/2016
"AUBREY-4","IN STOCK","27BR3YXX-C00004",11/18/2016
"AUBREY-44S60","IN STOCK","27BR3YXX-C44S60",11/18/2016
"AUBREY-6","IN STOCK","27BR3YXX-C00006",11/18/2016
"AUBREY-6/28","IN STOCK","27BR3YXX-C00628",11/18/2016
"AUBREY-6/33","IN STOCK","27BR3YXX-C00633",11/18/2016
"AUBREY-613/12BT","IN STOCK","27BR3YXX-C61312",11/18/2016
"AUBREY-613HL24B","LOW","27BR3YXX-C61324",11/18/2016
"AUBREY-613HL27","IN STOCK","27BR3YXX-C613H7",11/18/2016
