Product Name,Keywords,Description,Type,Collection,Fiber,Cap Size,Handtied,Special Order
Tawny,"capless wig, short, tapered, long fringes","Tawny has lushly layered locks with long tapered ends, This style is both easy and versatile. A Tony of Beverly Best Seller.",Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Tess,"capless wig, short, tapered, classic",Tess is a polished short that is layered and tapered. A Tony of Beverly Best Seller.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Toca,"harp cap wig, long, curly",Toca has long loose curls bursting from a smooth crown with soft bangs.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Topper,"hair piece, hair filler, enhancer, toupee clip",Topper has an oval 5 inch by 6 inch honeycomb base with 5 inches of perfectly curled hair with toupee clip attachments.,Honeycomb Hairpiece,,Tony of Beverly Exclusive blend,standard,N,Y
Trina,Mono-top; mid-length,Trina is a mid-length mono-top with lively layered rounds that accentuate every face shape,Wig,,Naturlite - Tony of Beverly's Exclusive blend,standard,N,Y
Ultra Petite Dot,Ultra petite,"A perfectly layered short with pliable soft curves. Simple and easy to wear, shake and go. This style can be worn flirty spiked up, dramatically smooth or naturally finger tousled.",Wig; Ultra Petite,,Naturlite - Tony of Beverly's Exclusive blend,petite,N,Y
Ultra Petite Jen,Ultra petite,"A sweet demi-bob with bangs and level layers at the ends. With a slight A-line front, this is fun flirty style that is great for petites ladies and children too.",Wig; Ultra Petite,,Naturlite - Tony of Beverly's Exclusive blend,petite,N,Y
Ultra Petite Peg,Ultra petite,A demure style with all over soft curls that can be used to hug and frame the face or worn off the face.  Simply classic.,Wig; Ultra Petite,,Naturlite - Tony of Beverly's Exclusive blend,petite,N,Y
Venus,"mono crown, mono, long, layered, venus",Venus has long lush layers with a bang. A Tony of Beverly Best Seller.,Wig,,Tony of Beverly Exclusive blend,standard,Y partial,Y
Viola,Harp cap; medium length,Feminine just-over-the-shoulder wavy style with sweeping long layers and an side bang.,Wig,Ultimate Fit,Tony of Beverly Exclusive blend,standard,N,Y
Zin,"full cap, very long, long, straight, elvira",Zin is the best of the longest longs. Long lush locks layered on the ends.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
